Železničná dráha;1
4
kod;Int16;2;Číselný kód dráhy
skratka;String;20;Skratka dráhy
nazov;String;200;Názov dráhy
iD;Int32;4;Identifikátor záznamu
Smer;33
3
kod;Int16;2;Číselný kód smeru
popis;String;200;Popis smeru
iD;Int32;4;Identifikátor záznamu
Stát;55
4
kod;Int16;2;Číselný kód krajiny
skratka3;String;200;Skratka krajiny - 3 znaky
nazov;String;200;Názov krajiny
iD;Int32;4;Identifikátor záznamu
Dopravné body;1000
4
cislo;Int64;8;Číslo dopravného bodu
nazov;String;20;Názov dopravného bodu
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
Dopravné úseky;1001
12
cislo;Int32;4;Číslo dopravného úseku
rozhodnySpadPreHmVSmere;Int16;2;Rozhodný spád pre normatív hmotnosti v smere
rozhodnySpadPreHmProti;Int16;2;Rozhodný spád pre normatív hmotnosti v protismere
rozhodneStupaniePreHmVSmere;Int16;2;Rozhodný stúpanie pre normatív hmotnosti v smere
rozhodneStupaniePreHmProti;Int16;2;Rozhodný stúpanie pre normatív hmotnosti v protismere
rozhodnySpadPreBrzdPerVSmere;Int16;2;Rozhodný spád pre určenie brzdného percenta v smere
rozhodnySpadPreBrzdPerProti;Int16;2;Rozhodný spád pre určenie brzdného percenta v protismere
triedaSklonuSmer;String;20;Trieda sklonu v smere
triedaSklonuProti;String;20;Trieda sklonu v protismere
sankcia;Boolean;4;Príznak sankcie za nevyužitie kapacity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
Staničné koľaje;1004
5
cislo;String;5;Číslo koľaje
zaciatok;Double;8;Kilometrická poloha začiatku koľaje
koniec;Double;8;Kilometrická poloha konca koľaje
fidParent;WSFid;1000;ID vlastníka entity
iD;Int32;4;Databázové ID záznamu
Traťové koľaje;1005
6
cislo;String;5;Číslo koľaje
extra;Boolean;4;Indikátor extra koľaje
zaciatok;Double;8;Kilometrická poloha začiatku koľaje
koniec;Double;8;Kilometrická poloha konca koľaje
fidParent;WSFid;1001;ID vlastníka entity
iD;Int32;4;Databázové ID záznamu
Prechod stanica-stanica;1043
6
cislo;Int16;2;Číslo SS prechodu
zaciatok;Double;8;Kilometrická poloha začiatku prechodu
koniec;Double;8;Kilometrická poloha konca prechodu
fidParent;WSFid;1000;ID vlastníka entity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
Prechod trať-stanica;1044
6
cislo;Int16;2;Číslo SS prechodu
zaciatok;Double;8;Kilometrická poloha začiatku prechodu
koniec;Double;8;Kilometrická poloha konca prechodu
fidParent;WSFid;1000;ID vlastníka entity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
Prechod trať-trať;1045
6
cislo;Int16;2;Číslo SS prechodu
zaciatok;Double;8;Kilometrická poloha začiatku prechodu
koniec;Double;8;Kilometrická poloha konca prechodu
fidParent;WSFid;1000;ID vlastníka entity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
Redukované profily - staničná koľaj;1061
5
tratovyOdpor;Double;8;Traťový odpor
poloha;Double;8;Kilometrická poloha profilu
fidParent;WSFid;1004;ID vlastníka entity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
Redukované profily - traťová koľaj profily;1062
5
tratovyOdpor;Double;8;Traťový odpor
poloha;Double;8;Kilometrická poloha profilu
fidParent;WSFid;1005;ID vlastníka entity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
Redukované profily – SS prechod;1063
5
tratovyOdpor;Double;8;Traťový odpor
poloha;Double;8;Kilometrická poloha profilu
fidParent;WSFid;1043;ID vlastníka entity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
Redukované profily – TS prechod;1064
5
tratovyOdpor;Double;8;Traťový odpor
poloha;Double;8;Kilometrická poloha profilu
fidParent;WSFid;1044;ID vlastníka entity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
Redukované profily – TT prechod;1065
5
tratovyOdpor;Double;8;Traťový odpor
poloha;Double;8;Kilometrická poloha profilu
fidParent;WSFid;1045;ID vlastníka entity
fid;WSFid[];0;Odkazy do naväzujúcich číselníkov
iD;Int32;4;Databázové ID záznamu
